"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 06 02:19:27 UTC 2024","Wed Mar 06 02:19:27 UTC 2024","25","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","2.Disclaimer Alert is present",""
"passed","Wed Mar 06 03:47:45 UTC 2024","Wed Mar 06 03:48:00 UTC 2024","15071","","20. Admin Portal - Check details","","","","1. Log in using manager login",""
"passed","Wed Mar 06 03:21:53 UTC 2024","Wed Mar 06 03:22:03 UTC 2024","10333","","13. Client Portal - Change Portfolio","","","","1. Direct user to “Your Account(s)” page",""
"passed","Wed Mar 06 02:41:28 UTC 2024","Wed Mar 06 02:41:32 UTC 2024","3980","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","5. Complete Screen and tilts",""
"passed","Wed Mar 06 02:38:03 UTC 2024","Wed Mar 06 02:38:56 UTC 2024","53085","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","12. Add another investor in Applicants",""
"passed","Wed Mar 06 04:32:20 UTC 2024","Wed Mar 06 04:32:21 UTC 2024","1335","","23. Change Portfolio for Interactive Brokers","","","","6. Check Final Review",""
"passed","Wed Mar 06 03:00:34 UTC 2024","Wed Mar 06 03:00:36 UTC 2024","1630","","12. Client Portal - Forms","","","","2. Check Form Page",""
"passed","Wed Mar 06 02:38:56 UTC 2024","Wed Mar 06 02:38:58 UTC 2024","2071","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","13. Review Final Review",""
"passed","Wed Mar 06 02:28:55 UTC 2024","Wed Mar 06 02:28:56 UTC 2024","166","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","8. Navigate to Insurance Quote",""
"passed","Wed Mar 06 04:08:35 UTC 2024","Wed Mar 06 04:08:44 UTC 2024","9510","","22. Individual Onboarding for Interactive Brokers","","","","2. Create new Individual account",""
"failed","Wed Mar 06 04:14:22 UTC 2024","Wed Mar 06 04:14:28 UTC 2024","5478","","22. Individual Onboarding for Interactive Brokers","","","","14. Complete Final Review",""
"passed","Wed Mar 06 02:19:27 UTC 2024","Wed Mar 06 02:19:50 UTC 2024","23782","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","3. Create new Individual investment account",""
"passed","Wed Mar 06 03:28:06 UTC 2024","Wed Mar 06 03:28:08 UTC 2024","2431","","16. Nucleus Wealth Wordpress Site","","","","3. Visit Ethical Investing",""
"passed","Wed Mar 06 02:38:00 UTC 2024","Wed Mar 06 02:38:03 UTC 2024","2717","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","10. Review Final Review",""
"passed","Wed Mar 06 02:58:15 UTC 2024","Wed Mar 06 02:58:30 UTC 2024","15357","","11. Client Portal - Administration","","","","1. Direct user to “Administration” page",""
"passed","Wed Mar 06 03:32:19 UTC 2024","Wed Mar 06 03:32:52 UTC 2024","32474","","17.0 Create Test User on Live Portal","","","","4. Subscribe user via Suitability Calculator",""
"passed","Wed Mar 06 03:22:07 UTC 2024","Wed Mar 06 03:22:09 UTC 2024","2892","","13. Client Portal - Change Portfolio","","","","3. Direct user to “Build Your Portfolio”",""
"passed","Wed Mar 06 02:31:08 UTC 2024","Wed Mar 06 02:31:13 UTC 2024","5281","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Wed Mar 06 03:48:18 UTC 2024","Wed Mar 06 03:48:19 UTC 2024","910","","20. Admin Portal - Check details","","","","7. Check Current Settings",""
"passed","Wed Mar 06 02:34:50 UTC 2024","Wed Mar 06 02:35:06 UTC 2024","15810","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Wed Mar 06 02:27:32 UTC 2024","Wed Mar 06 02:27:39 UTC 2024","7144","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","6. Complete Super Fund Entry",""
"passed","Wed Mar 06 02:58:32 UTC 2024","Wed Mar 06 02:58:51 UTC 2024","18894","","11. Client Portal - Administration","","","","4. Check Administration Page",""
"passed","Wed Mar 06 02:55:56 UTC 2024","Wed Mar 06 02:55:58 UTC 2024","2421","","10. Client Portal - Account Dashboard","","","","5. Expand Strategic",""
"passed","Wed Mar 06 02:27:05 UTC 2024","Wed Mar 06 02:27:27 UTC 2024","21255","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Wed Mar 06 02:55:29 UTC 2024","Wed Mar 06 02:55:56 UTC 2024","26549","","10. Client Portal - Account Dashboard","","","","4. Check Tactical Panel",""
"passed","Wed Mar 06 04:08:44 UTC 2024","Wed Mar 06 04:08:44 UTC 2024","17","","22. Individual Onboarding for Interactive Brokers","","","","3. Check SideNav",""
"passed","Wed Mar 06 03:22:09 UTC 2024","Wed Mar 06 03:22:33 UTC 2024","23787","","13. Client Portal - Change Portfolio","","","","4. Complete Build Your Portfolio",""
"passed","Wed Mar 06 03:25:33 UTC 2024","Wed Mar 06 03:26:17 UTC 2024","44154","","15. Test 2 Factor Login is working","","","","Get SMS and apply it in 2FA form",""
"passed","Wed Mar 06 03:22:33 UTC 2024","Wed Mar 06 03:22:35 UTC 2024","1604","","13. Client Portal - Change Portfolio","","","","5. Check Final Review",""
"passed","Wed Mar 06 02:20:48 UTC 2024","Wed Mar 06 02:21:04 UTC 2024","16034","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","8. Review Review Page",""
"passed","Wed Mar 06 03:30:27 UTC 2024","Wed Mar 06 03:31:18 UTC 2024","50547","","17.0 Create Test User on Live Portal","","","","1. Create a new user on Live Portal",""
"passed","Wed Mar 06 02:56:11 UTC 2024","Wed Mar 06 02:56:12 UTC 2024","800","","10. Client Portal - Account Dashboard","","","","8. Expand Performance",""
"passed","Wed Mar 06 02:44:17 UTC 2024","Wed Mar 06 02:44:20 UTC 2024","3181","","6. Company Account","","","","5. Complete Screen and tilts",""
"passed","Wed Mar 06 02:44:43 UTC 2024","Wed Mar 06 02:44:46 UTC 2024","2377","","6. Company Account","","","","8. Navigate from Applicants to Final Review",""
"passed","Wed Mar 06 02:23:25 UTC 2024","Wed Mar 06 02:23:29 UTC 2024","4503","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","13. Complete Bank Details",""
"passed","Wed Mar 06 03:45:39 UTC 2024","Wed Mar 06 03:45:54 UTC 2024","15534","","19. Look Up Investment Account","","","","1. Log in using manager login",""
"passed","Wed Mar 06 04:31:47 UTC 2024","Wed Mar 06 04:31:50 UTC 2024","2967","","23. Change Portfolio for Interactive Brokers","","","","3. Direct user to “Build Your Portfolio”",""
"passed","Wed Mar 06 02:43:38 UTC 2024","Wed Mar 06 02:43:54 UTC 2024","15427","","6. Company Account","","","","1. Validate login credentials",""
"passed","Wed Mar 06 02:20:16 UTC 2024","Wed Mar 06 02:20:39 UTC 2024","22721","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","6. Complete Build Your Portfolio",""
"passed","Wed Mar 06 04:08:48 UTC 2024","Wed Mar 06 04:09:16 UTC 2024","27498","","22. Individual Onboarding for Interactive Brokers","","","","5. Complete Risk Profile",""
"passed","Wed Mar 06 02:58:30 UTC 2024","Wed Mar 06 02:58:32 UTC 2024","1551","","11. Client Portal - Administration","","","","2. Check Administration Page",""
"passed","Wed Mar 06 04:08:21 UTC 2024","Wed Mar 06 04:08:35 UTC 2024","13451","","22. Individual Onboarding for Interactive Brokers","","","","1. Log into user with IB access",""
"passed","Wed Mar 06 04:31:57 UTC 2024","Wed Mar 06 04:32:20 UTC 2024","22606","","23. Change Portfolio for Interactive Brokers","","","","5. Complete Build Your Portfolio",""
"passed","Wed Mar 06 02:22:22 UTC 2024","Wed Mar 06 02:22:24 UTC 2024","2536","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","11. Scrape results from Review and navigate to Applicants",""
"passed","Wed Mar 06 02:36:59 UTC 2024","Wed Mar 06 02:37:54 UTC 2024","54253","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","7. Complete Applicants",""
"passed","Wed Mar 06 03:45:54 UTC 2024","Wed Mar 06 03:46:04 UTC 2024","9635","","19. Look Up Investment Account","","","","2. Direct to Investment Account Search",""
"passed","Wed Mar 06 03:22:03 UTC 2024","Wed Mar 06 03:22:07 UTC 2024","3152","","13. Client Portal - Change Portfolio","","","","2. Direct user to “Investment Choice”",""
"passed","Wed Mar 06 02:23:05 UTC 2024","Wed Mar 06 02:23:25 UTC 2024","19255","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","12. Complete Applicants",""
"passed","Wed Mar 06 02:35:06 UTC 2024","Wed Mar 06 02:35:15 UTC 2024","8455","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","2. Create a Joint Account",""
"failed","Wed Mar 06 04:11:12 UTC 2024","Wed Mar 06 04:14:22 UTC 2024","190391","","22. Individual Onboarding for Interactive Brokers","","","","13. Limited Advice Path",""
"passed","Wed Mar 06 02:32:51 UTC 2024","Wed Mar 06 02:33:03 UTC 2024","12161","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","7. Complete In SMSF Details",""
"passed","Wed Mar 06 02:49:16 UTC 2024","Wed Mar 06 02:49:32 UTC 2024","16347","","9. Client Portal - Home","","","","1. Check links",""
"passed","Wed Mar 06 02:30:44 UTC 2024","Wed Mar 06 02:31:01 UTC 2024","16807","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Wed Mar 06 02:37:54 UTC 2024","Wed Mar 06 02:37:55 UTC 2024","1521","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","8. Navigate from Applicants to Bank Details",""
"passed","Wed Mar 06 02:21:31 UTC 2024","Wed Mar 06 02:21:59 UTC 2024","27357","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","10. Complete Risk Profile and navigate to Review",""
"passed","Wed Mar 06 04:11:10 UTC 2024","Wed Mar 06 04:11:12 UTC 2024","1787","","22. Individual Onboarding for Interactive Brokers","","","","12. Check Final Review",""
"passed","Wed Mar 06 02:55:19 UTC 2024","Wed Mar 06 02:55:29 UTC 2024","10916","","10. Client Portal - Account Dashboard","","","","3. Direct user to Account Dashboard",""
"passed","Wed Mar 06 02:58:32 UTC 2024","Wed Mar 06 02:58:32 UTC 2024","216","","11. Client Portal - Administration","","","","3. Check Upload Verification Documents",""
"passed","Wed Mar 06 02:23:29 UTC 2024","Wed Mar 06 02:24:32 UTC 2024","62509","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","14. Complete Final Review",""
"passed","Wed Mar 06 04:31:34 UTC 2024","Wed Mar 06 04:31:44 UTC 2024","9842","","23. Change Portfolio for Interactive Brokers","","","","1. Log into user with IB access and direct user to “Your Account(s)” page",""
"passed","Wed Mar 06 02:41:18 UTC 2024","Wed Mar 06 02:41:28 UTC 2024","10060","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","4. Complete Build Your Portfolio",""
"passed","Wed Mar 06 03:39:07 UTC 2024","Wed Mar 06 03:39:21 UTC 2024","14291","","18. Check Admin header","","","","1. Log in using manager login",""
"passed","Wed Mar 06 02:55:05 UTC 2024","Wed Mar 06 02:55:18 UTC 2024","12749","","10. Client Portal - Account Dashboard","","","","1. Direct user to “Your Accounts” page",""
"passed","Wed Mar 06 03:34:46 UTC 2024","Wed Mar 06 03:35:17 UTC 2024","30485","","17.1 Create Test User on Live Portal","","","","5. Create a new user for Walk The World",""
"passed","Wed Mar 06 03:48:16 UTC 2024","Wed Mar 06 03:48:17 UTC 2024","1375","","20. Admin Portal - Check details","","","","5. Check Investor Panel",""
"passed","Wed Mar 06 03:39:21 UTC 2024","Wed Mar 06 03:43:30 UTC 2024","248632","","18. Check Admin header","","","","2. Check Navbar",""
"passed","Wed Mar 06 03:31:18 UTC 2024","Wed Mar 06 03:31:36 UTC 2024","18409","","17.0 Create Test User on Live Portal","","","","2. Subscribe to Nucleus Wealth mailing list",""
"passed","Wed Mar 06 02:26:35 UTC 2024","Wed Mar 06 02:26:51 UTC 2024","16053","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Wed Mar 06 02:43:54 UTC 2024","Wed Mar 06 02:44:02 UTC 2024","8159","","6. Company Account","","","","2. Create a Company Account",""
"passed","Wed Mar 06 02:42:06 UTC 2024","Wed Mar 06 02:42:09 UTC 2024","3003","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
"passed","Wed Mar 06 02:31:13 UTC 2024","Wed Mar 06 02:31:34 UTC 2024","20842","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Wed Mar 06 02:26:51 UTC 2024","Wed Mar 06 02:27:01 UTC 2024","9801","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","2. Create new Personal Super Account",""
"passed","Wed Mar 06 02:20:39 UTC 2024","Wed Mar 06 02:20:48 UTC 2024","9276","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","7. Complete Screen and Tilts",""
"passed","Wed Mar 06 03:46:04 UTC 2024","Wed Mar 06 03:46:06 UTC 2024","2388","","19. Look Up Investment Account","","","","3. Search Account ID 445",""
"passed","Wed Mar 06 03:49:59 UTC 2024","Wed Mar 06 03:50:17 UTC 2024","18502","","21. Forgot password function","","","","2. Reset password",""
"passed","Wed Mar 06 02:21:04 UTC 2024","Wed Mar 06 02:21:31 UTC 2024","27190","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","9. Navigate to Risk Profile",""
"passed","Wed Mar 06 02:28:53 UTC 2024","Wed Mar 06 02:28:55 UTC 2024","2896","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","7. Review Review Page",""
"passed","Wed Mar 06 02:46:32 UTC 2024","Wed Mar 06 02:47:42 UTC 2024","69727","","8. Sign Up new user","","","","1. Create a new user",""
"passed","Wed Mar 06 02:35:15 UTC 2024","Wed Mar 06 02:35:19 UTC 2024","4482","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Wed Mar 06 02:35:39 UTC 2024","Wed Mar 06 02:35:46 UTC 2024","7023","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","5. Complete Screen and tilts",""
"passed","Wed Mar 06 04:31:50 UTC 2024","Wed Mar 06 04:31:57 UTC 2024","7651","","23. Change Portfolio for Interactive Brokers","","","","4. Complete Risk Profile",""
"passed","Wed Mar 06 03:28:11 UTC 2024","Wed Mar 06 03:28:14 UTC 2024","3110","","16. Nucleus Wealth Wordpress Site","","","","5. Visit Direct Indexing",""
"passed","Wed Mar 06 02:44:02 UTC 2024","Wed Mar 06 02:44:06 UTC 2024","4310","","6. Company Account","","","","3. Complete Investment Choice",""
"passed","Wed Mar 06 02:41:43 UTC 2024","Wed Mar 06 02:41:45 UTC 2024","2485","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Wed Mar 06 02:55:18 UTC 2024","Wed Mar 06 02:55:18 UTC 2024","247","","10. Client Portal - Account Dashboard","","","","2. Overall asset summary panel",""
"passed","Wed Mar 06 03:27:48 UTC 2024","Wed Mar 06 03:28:02 UTC 2024","13644","","16. Nucleus Wealth Wordpress Site","","","","1. Visit Production Site",""
"passed","Wed Mar 06 02:44:33 UTC 2024","Wed Mar 06 02:44:43 UTC 2024","10310","","6. Company Account","","","","7. Complete In Company Details",""
"passed","Wed Mar 06 04:11:04 UTC 2024","Wed Mar 06 04:11:10 UTC 2024","5365","","22. Individual Onboarding for Interactive Brokers","","","","11. Complete Compliance",""
"passed","Wed Mar 06 02:32:48 UTC 2024","Wed Mar 06 02:32:50 UTC 2024","2774","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Wed Mar 06 03:48:06 UTC 2024","Wed Mar 06 03:48:16 UTC 2024","9889","","20. Admin Portal - Check details","","","","4. Direct to Account’s client portal",""
"passed","Wed Mar 06 03:28:08 UTC 2024","Wed Mar 06 03:28:11 UTC 2024","2619","","16. Nucleus Wealth Wordpress Site","","","","4. Visit Superannuation",""
"passed","Wed Mar 06 03:31:36 UTC 2024","Wed Mar 06 03:32:19 UTC 2024","42518","","17.0 Create Test User on Live Portal","","","","3. Subscribe user via Investment Suitability Calculator",""
"passed","Wed Mar 06 02:19:06 UTC 2024","Wed Mar 06 02:19:27 UTC 2024","20996","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Wed Mar 06 02:28:56 UTC 2024","Wed Mar 06 02:29:04 UTC 2024","8399","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","9. Complete Insurance Quote",""
"passed","Wed Mar 06 03:00:36 UTC 2024","Wed Mar 06 03:00:41 UTC 2024","4995","","12. Client Portal - Forms","","","","3. Expand Superannuation Forms",""
"passed","Wed Mar 06 02:37:55 UTC 2024","Wed Mar 06 02:38:00 UTC 2024","4742","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","9. Complete Bank Details",""
"passed","Wed Mar 06 04:08:44 UTC 2024","Wed Mar 06 04:08:48 UTC 2024","4059","","22. Individual Onboarding for Interactive Brokers","","","","4. Navigate to Risk Profile page",""
"passed","Wed Mar 06 03:48:06 UTC 2024","Wed Mar 06 03:48:06 UTC 2024","331","","20. Admin Portal - Check details","","","","3. Check panels existence",""
"passed","Wed Mar 06 02:56:00 UTC 2024","Wed Mar 06 02:56:11 UTC 2024","11271","","10. Client Portal - Account Dashboard","","","","7. Expand Portfolio",""
"passed","Wed Mar 06 02:41:04 UTC 2024","Wed Mar 06 02:41:13 UTC 2024","9564","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","2. Create a Trust Account",""
"passed","Wed Mar 06 02:44:06 UTC 2024","Wed Mar 06 02:44:17 UTC 2024","10520","","6. Company Account","","","","4. Complete Build Your Portfolio",""
"passed","Wed Mar 06 03:36:55 UTC 2024","Wed Mar 06 03:37:24 UTC 2024","28274","","17.2 Create Test User on Live Portal","","","","6. Create a new user for Macro business",""
"passed","Wed Mar 06 02:55:58 UTC 2024","Wed Mar 06 02:56:00 UTC 2024","1283","","10. Client Portal - Account Dashboard","","","","6. Expand Ethics/Exclusions",""
"passed","Wed Mar 06 03:22:35 UTC 2024","Wed Mar 06 03:23:22 UTC 2024","46860","","13. Client Portal - Change Portfolio","","","","6. Submit Change",""
"passed","Wed Mar 06 02:44:46 UTC 2024","Wed Mar 06 02:44:46 UTC 2024","351","","6. Company Account","","","","9. Review Final Review",""
"passed","Wed Mar 06 02:35:19 UTC 2024","Wed Mar 06 02:35:39 UTC 2024","19628","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Wed Mar 06 02:40:47 UTC 2024","Wed Mar 06 02:41:04 UTC 2024","16583","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Wed Mar 06 03:00:41 UTC 2024","Wed Mar 06 03:00:42 UTC 2024","1446","","12. Client Portal - Forms","","","","4. Expand Personal Investment Forms",""
"passed","Wed Mar 06 04:11:01 UTC 2024","Wed Mar 06 04:11:04 UTC 2024","3750","","22. Individual Onboarding for Interactive Brokers","","","","10. Complete Bank Details",""
"passed","Wed Mar 06 03:48:17 UTC 2024","Wed Mar 06 03:48:18 UTC 2024","1016","","20. Admin Portal - Check details","","","","6. Check Account Settings & History (Data Snapshots)",""
"skipped","Wed Mar 06 02:19:50 UTC 2024","Wed Mar 06 02:19:50 UTC 2024","2","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","4. Check Help Modal in Investment Choice",""
"passed","Wed Mar 06 02:36:56 UTC 2024","Wed Mar 06 02:36:59 UTC 2024","3540","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Wed Mar 06 03:28:44 UTC 2024","Wed Mar 06 03:28:46 UTC 2024","2001","","16. Nucleus Wealth Wordpress Site","","","","10. Check wordpress image uploaded date",""
"passed","Wed Mar 06 02:33:03 UTC 2024","Wed Mar 06 02:33:05 UTC 2024","2484","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
"passed","Wed Mar 06 04:09:50 UTC 2024","Wed Mar 06 04:11:00 UTC 2024","70507","","22. Individual Onboarding for Interactive Brokers","","","","9. Complete Applicants",""
"passed","Wed Mar 06 03:49:51 UTC 2024","Wed Mar 06 03:49:59 UTC 2024","7866","","21. Forgot password function","","","","1. Direct to forgot password page",""
"passed","Wed Mar 06 04:31:45 UTC 2024","Wed Mar 06 04:31:47 UTC 2024","2201","","23. Change Portfolio for Interactive Brokers","","","","2. Direct user to “Investment Choice”",""
"passed","Wed Mar 06 03:46:06 UTC 2024","Wed Mar 06 03:46:11 UTC 2024","4234","","19. Look Up Investment Account","","","","4. Expand Account ID 445",""
"passed","Wed Mar 06 02:33:05 UTC 2024","Wed Mar 06 02:33:06 UTC 2024","397","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","9. Review Final Review",""
"passed","Wed Mar 06 03:28:14 UTC 2024","Wed Mar 06 03:28:17 UTC 2024","2691","","16. Nucleus Wealth Wordpress Site","","","","6. Visit Resources",""
"passed","Wed Mar 06 02:19:50 UTC 2024","Wed Mar 06 02:20:16 UTC 2024","25441","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","5. Navigate to Build Your Portfolio from Investment Choice",""
"passed","Wed Mar 06 04:09:19 UTC 2024","Wed Mar 06 04:09:24 UTC 2024","4144","","22. Individual Onboarding for Interactive Brokers","","","","7.Complete Screen and Tilts",""
"passed","Wed Mar 06 04:09:16 UTC 2024","Wed Mar 06 04:09:19 UTC 2024","3489","","22. Individual Onboarding for Interactive Brokers","","","","6. Complete Build Your Portfolio",""
"passed","Wed Mar 06 02:27:27 UTC 2024","Wed Mar 06 02:27:32 UTC 2024","5713","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","5. Complete Screen and Tilts",""
"passed","Wed Mar 06 02:29:04 UTC 2024","Wed Mar 06 02:29:05 UTC 2024","567","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","10. Review Final Review",""
"passed","Wed Mar 06 03:28:33 UTC 2024","Wed Mar 06 03:28:44 UTC 2024","10968","","16. Nucleus Wealth Wordpress Site","","","","9. Visit Get Started",""
"passed","Wed Mar 06 03:28:19 UTC 2024","Wed Mar 06 03:28:33 UTC 2024","13787","","16. Nucleus Wealth Wordpress Site","","","","8. Visit Member Login",""
"passed","Wed Mar 06 02:42:09 UTC 2024","Wed Mar 06 02:42:09 UTC 2024","362","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","9. Review Final Review",""
"passed","Wed Mar 06 02:41:13 UTC 2024","Wed Mar 06 02:41:18 UTC 2024","4112","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Wed Mar 06 03:28:02 UTC 2024","Wed Mar 06 03:28:06 UTC 2024","3520","","16. Nucleus Wealth Wordpress Site","","","","2. Visit Investment Options",""
"passed","Wed Mar 06 03:00:20 UTC 2024","Wed Mar 06 03:00:34 UTC 2024","14257","","12. Client Portal - Forms","","","","1. Direct user to “Forms” page",""
"passed","Wed Mar 06 02:44:30 UTC 2024","Wed Mar 06 02:44:33 UTC 2024","2767","","6. Company Account","","","","6. Review Review Page",""
"passed","Wed Mar 06 04:09:48 UTC 2024","Wed Mar 06 04:09:50 UTC 2024","2004","","22. Individual Onboarding for Interactive Brokers","","","","8. Check Review Page",""
"passed","Wed Mar 06 02:27:01 UTC 2024","Wed Mar 06 02:27:05 UTC 2024","4559","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Wed Mar 06 03:28:17 UTC 2024","Wed Mar 06 03:28:19 UTC 2024","2585","","16. Nucleus Wealth Wordpress Site","","","","7. Visit Contact",""
"passed","Wed Mar 06 02:31:01 UTC 2024","Wed Mar 06 02:31:08 UTC 2024","6611","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","2. Create a SMSF Account",""
"passed","Wed Mar 06 02:41:45 UTC 2024","Wed Mar 06 02:42:06 UTC 2024","20230","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","7. Complete In Trust Details",""
"passed","Wed Mar 06 02:31:34 UTC 2024","Wed Mar 06 02:31:40 UTC 2024","6428","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","5. Complete Screen and Tilts",""
"passed","Wed Mar 06 03:48:00 UTC 2024","Wed Mar 06 03:48:06 UTC 2024","5909","","20. Admin Portal - Check details","","","","2. Account ID 445 detail page",""
